Column1;author;date;discipline;id;mark;reply;text;tutorlink;tutorname
0;Станислав;03.07.2019;английский язык;3913908;отлично;;Итоговая задача выполнена. Огэ сдан на 5.;https://repetitors.info/repetitor/?p=SemchenkovaIV;Семченкова Ирина Владимировна
10;Ольга (отзыв зафиксирован со слов клиента по телефону);01.06.2018;английский язык;1374555;почти отлично;;Мы очень довольны и собираемся заниматься дальше с сентября месяца. Если кто-то спросит, будем рекомендовать. Хорошая женщина, грамотная. Приезжает всегда вовремя. Она сама приходит к нам домой. Живёт в нашем районе. Если происходят изменения по расписанию, всегда можно договориться, передвинуть занятия, ещё может помочь по телефону.;https://repetitors.info/repetitor/?p=KazakovaMM;Казакова Маргарита Михайловна
39;Ирина (отзыв зафиксирован со слов клиента по телефону);08.04.2018;английский язык;1308200;вполне хорошо;;Я занималась с педагогом, но сейчас занятия прекращены. У меня остались положительные впечатления. Цель пока не была достигнута, но со временем, думаю, смогу продолжить. Мы занимались больше разговорной речью и прогресс, конечно, был. В плане дисциплины все четко, пунктуально.;https://repetitors.info/repetitor/?p=PetrovaLA;Петрова Лилия Александровна
15;Ольга (отзыв зафиксирован со слов клиента по телефону);24.01.2019;начальная школа;1718001;хорошо;;;https://repetitors.info/repetitor/?p=ChernousOP;Черноус Ольга Петровна
20;Майя;30.04.2018;физика;1335083;почти хорошо;;Плюсы: Нашел подход к ребенку достаточно быстроМинусы: Просил не присутствовать родителям во время занятий, при этом параллельно занимался чем-то другим. Чем? Уточните у педагога.Описание: Занимались по Скайпу. Эффективности занятий к сожалению не было - пытались заниматься геометрией и физикой. Физику - лучше, но не по теме 8 класса, в-основном решали задачи, которые у ребенка не отложились, так как нет методики объяснения темы и затем решения задач. На следующий урок педагог не помнит, что было на предыдущем.;https://repetitors.info/repetitor/?p=BalakirevNA;Балакирев Никита Александрович
23;Белла;22.03.2018;математика;1285365;более-менее;;занимались около месяца,я была согласна на условия репетитора,хотя они меня совсем не устраивали...и в конце концов без объяснений репетитор отказался заниматься с нами..думаю не стала бы рекомендовать друзьям...;https://repetitors.info/repetitor/?p=KomarovaEV10;Комарова Евгения Витальевна
48;Гузель;27.06.2019;физика;3892332;так себе...;;Результат не достигнут.Возможно, Сергею не хватило опыта или было мало времени.;https://repetitors.info/repetitor/?p=KonstantinovSO;Константинов Сергей Олегович
27;Марианна;05.03.2018;английский язык;1262045;плохо;;"Задача репетитора была заниматься с учеником, поддерживая интерес к предмету. Анлийский языком Алексей Константинович владеет не на уровне носителя, поэтому урок ведет очень медленно с длинными паузами, подбирая слова. За полгода занятий моя дочь забыла все что знала до этого. Домашнее задание всегда было в виде: ""прочитай параграф"". Никакие задачи на дом педагог не задавал, знания не тестировал. Сейчас ученица начинает с начала. Очень жалко времени и денег потраченных впустую.";https://repetitors.info/repetitor/?p=PiskunovAK;Пискунов Алексей Константинович
33;Руслан (отзыв зафиксирован со слов клиента по телефону);21.12.2018;сопротивление материалов;1665872;ужасно;Первоначально дата экзамена была 26 декабря. Я планировал подготовиться именно к этому числу. Мне очень жаль, что вышло именно так. Я старался и отменял дела ради этого заказа, но увы были дела, которые невозможно отменить, поэтому встреча не состоялась.;Роман Игоревич говорил, что приеду и так на словах это и осталось, 3 раза питался приехать и подвёл меня с экзаменом. Очень не ответственный, не возможно положиться!;https://repetitors.info/repetitor/?p=GeorgievRI;Георгиев Роман Игоревич
3;Жанна;03.07.2019;английский язык;3913781;лучше не бывает!;;Лидия замечательный преподаватель, пунктуальный, отзывчивый, интересный. Уроки выстроены с учётом всех моих требований к занятиям, интересно и продуктивно. Советую данного преподавателя??П. С. Молодой преподаватель даст вам более свежие и достоверные знания, так как молодые не ограничивают свои знания, а стремятся их развивать, нежели возрастные преподаватели.;https://repetitors.info/repetitor/?p=ErshovaLV5;Ершова Лидия Владимировна
